address_raw,address_type,address_clean,lat,lon,geocoding_quality,geocoding_method,matched_address
"Av. de la Paloma, 36-38, Carretera de Cádiz, 29003 Málaga",house_number,"Avenida de la Paloma, 36-38, Carretera de Cádiz, 29003, Málaga, Spain",36.7006628,-4.4418372,medium,simplified,"Avenida Paloma, Girón, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Av. de la Paloma, 43, Carretera de Cádiz, 29003 Málaga",house_number,"Avenida de la Paloma, 43, Carretera de Cádiz, 29003, Málaga, Spain",36.7021443,-4.4455566,high,simplified,"43, Avenida Paloma, San Carlos Condote, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"C. Conde de Guadalhorce, 6-8, Cruz de Humilladero, 29006 Málaga",house_number,"Calle Conde de Guadalhorce, 6-8, Cruz de Humilladero, 29006, Málaga, Spain",36.714611,-4.4427467,medium,original,"Calle Conde de Guadalhorce, Cruz del Humilladero, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
"C. Federico García Lorca, 13-11, Carretera de Cádiz, 29003 Málaga",house_number,"Calle Federico García Lorca, 13-11, Carretera de Cádiz, 29003, Málaga, Spain",36.7002257,-4.4398829,medium,original,"Calle Federico García Lorca, 25 Años de Paz, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"Calle Goya, 7, Carretera de Cádiz, 29002 Málaga",house_number,"Calle Goya, 7, Carretera de Cádiz, 29002, Málaga, Spain",36.7055257,-4.4374114,high,original,"7, Calle Goya, Huelin, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29002, España"
"C. Gran Bretaña, 2-8, Cruz de Humilladero, 29004 Málaga",house_number,"Calle Gran Bretaña, 2-8, Cruz de Humilladero, 29004, Málaga, Spain",36.7037448,-4.4912712,medium,original,"Calle Gran Bretaña, Intelhorce, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29071, España"
"C. Héroe de Sostoa, 105, Carretera de Cádiz, 29003 Málaga",house_number,"Calle Héroe de Sostoa, 105, Carretera de Cádiz, 29003, Málaga, Spain",36.7030272,-4.4415761,medium,original,"Calle Héroe de Sostoa, Alaska, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"C. Isla Cristina, 13-15, Carretera de Cádiz, 29003 Málaga",house_number,"Calle Isla Cristina, 13-15, Carretera de Cádiz, 29003, Málaga, Spain",36.702783,-4.4400283,medium,original,"Calle Isla Cristina, 25 Años de Paz, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29003, España"
"C. José María Jacquard, 55-53, Cruz de Humilladero, 29004 Málaga",house_number,"Calle José María Jacquard, 55-53, Cruz de Humilladero, 29004, Málaga, Spain",36.7048419,-4.4921785,medium,original,"Calle José María Jacquard, Intelhorce, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29071, España"
"C. Martínez de la Rosa, 92, Bailén-Miraflores, 29010 Málaga",house_number,"Calle Martínez de la Rosa, 92, Bailén-miraflores, 29010, Málaga, Spain",36.7271289,-4.4402782,high,original,"92, Calle Martínez de la Rosa, Suárez, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29007, España"
"C. Eugenio Gross, 26, Distrito Centro, 29009 Málaga",house_number,"Calle Eugenio Gross, 26, Distrito Centro, 29009, Málaga, Spain",36.7237941,-4.435623,medium,no_district,"Casavida Inmobiliaria, 26, Calle Eugenio Gross, Haza del Campillo, La Trinidad, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29009, España"
"Abogado Federico Orellana Toledano, 20",house_number,"Abogado Federico Orellana Toledano, 20, Málaga, Spain",36.7035407,-4.4403298,high,original,"20, Calle Abogado Federico Orellana Toledano, Huelin, Carretera de Cádiz, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29002, España"
"Albacete, 2 - Malaga",house_number,"Albacete, 2, Málaga, Spain",36.7289294,-4.4438144,high,original,"2, Calle Albacete, Suárez, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
"C. Albacete, 9 malaga",house_number,"Calle Albacete, 9, Málaga, Spain",36.7280426,-4.444117,high,original,"9, Calle Albacete, Suárez, Bailén-Miraflores, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29010, España"
